#    <A>=  0.150609  sigmaA= 0.000690
#    <B>=-16.280374  sigmaB= 0.020707
#  rhoAB= -0.286052
#    a39=  0.000661     b39=  0.020708
#    a95=  0.001619     b95=  0.050683
#  tht39=  0.546922   tht95=  0.546922
#
#       A39       B39         A95       B95
     0.151271 -16.280368   0.152228 -16.280359
     0.151268 -16.280108   0.152222 -16.279722
     0.151266 -16.279848   0.152215 -16.279085
     0.151263 -16.279587   0.152209 -16.278449
     0.151260 -16.279327   0.152202 -16.277812
     0.151257 -16.279068   0.152195 -16.277177
     0.151254 -16.278808   0.152187 -16.276541
     0.151251 -16.278549   0.152179 -16.275906
     0.151248 -16.278290   0.152171 -16.275272
     0.151244 -16.278031   0.152163 -16.274639
     0.151241 -16.277773   0.152155 -16.274007
     0.151237 -16.277515   0.152146 -16.273376
     0.151234 -16.277257   0.152137 -16.272745
     0.151230 -16.277000   0.152128 -16.272116
     0.151226 -16.276744   0.152118 -16.271489
     0.151222 -16.276488   0.152109 -16.270862
     0.151218 -16.276233   0.152099 -16.270238
     0.151214 -16.275978   0.152089 -16.269615
     0.151210 -16.275724   0.152078 -16.268993
     0.151205 -16.275471   0.152068 -16.268373
     0.151201 -16.275218   0.152057 -16.267756
     0.151196 -16.274967   0.152046 -16.267140
     0.151192 -16.274716   0.152035 -16.266526
     0.151187 -16.274466   0.152023 -16.265915
     0.151182 -16.274217   0.152011 -16.265305
     0.151177 -16.273969   0.151999 -16.264698
     0.151172 -16.273722   0.151987 -16.264094
     0.151167 -16.273477   0.151975 -16.263492
     0.151162 -16.273232   0.151962 -16.262893
     0.151157 -16.272988   0.151949 -16.262297
     0.151152 -16.272746   0.151936 -16.261703
     0.151146 -16.272504   0.151923 -16.261113
     0.151141 -16.272264   0.151910 -16.260525
     0.151135 -16.272025   0.151896 -16.259941
     0.151129 -16.271788   0.151882 -16.259359
     0.151124 -16.271552   0.151868 -16.258782
     0.151118 -16.271317   0.151854 -16.258207
     0.151112 -16.271084   0.151839 -16.257636
     0.151106 -16.270852   0.151825 -16.257069
     0.151100 -16.270622   0.151810 -16.256505
     0.151094 -16.270393   0.151795 -16.255945
     0.151087 -16.270166   0.151780 -16.255389
     0.151081 -16.269940   0.151764 -16.254837
     0.151075 -16.269716   0.151749 -16.254289
     0.151068 -16.269494   0.151733 -16.253745
     0.151062 -16.269274   0.151717 -16.253205
     0.151055 -16.269055   0.151701 -16.252670
     0.151049 -16.268838   0.151684 -16.252139
     0.151042 -16.268623   0.151668 -16.251612
     0.151035 -16.268409   0.151651 -16.251090
     0.151028 -16.268198   0.151635 -16.250573
     0.151021 -16.267988   0.151618 -16.250060
     0.151014 -16.267781   0.151601 -16.249552
     0.151007 -16.267575   0.151583 -16.249049
     0.151000 -16.267372   0.151566 -16.248551
     0.150993 -16.267170   0.151548 -16.248057
     0.150986 -16.266971   0.151531 -16.247569
     0.150978 -16.266774   0.151513 -16.247087
     0.150971 -16.266578   0.151495 -16.246609
     0.150964 -16.266385   0.151476 -16.246137
     0.150956 -16.266195   0.151458 -16.245670
     0.150949 -16.266006   0.151440 -16.245209
     0.150941 -16.265820   0.151421 -16.244753
     0.150933 -16.265636   0.151403 -16.244302
     0.150926 -16.265454   0.151384 -16.243858
     0.150918 -16.265275   0.151365 -16.243419
     0.150910 -16.265098   0.151346 -16.242986
     0.150902 -16.264924   0.151327 -16.242559
     0.150895 -16.264752   0.151307 -16.242138
     0.150887 -16.264582   0.151288 -16.241723
     0.150879 -16.264415   0.151268 -16.241315
     0.150871 -16.264251   0.151249 -16.240912
     0.150863 -16.264089   0.151229 -16.240515
     0.150854 -16.263929   0.151209 -16.240125
     0.150846 -16.263772   0.151189 -16.239741
     0.150838 -16.263618   0.151169 -16.239364
     0.150830 -16.263467   0.151149 -16.238993
     0.150822 -16.263318   0.151129 -16.238629
     0.150813 -16.263172   0.151109 -16.238271
     0.150805 -16.263028   0.151089 -16.237920
     0.150797 -16.262887   0.151068 -16.237575
     0.150788 -16.262749   0.151048 -16.237237
     0.150780 -16.262614   0.151027 -16.236907
     0.150772 -16.262482   0.151007 -16.236583
     0.150763 -16.262352   0.150986 -16.236265
     0.150755 -16.262226   0.150965 -16.235955
     0.150746 -16.262102   0.150944 -16.235652
     0.150738 -16.261981   0.150924 -16.235356
     0.150729 -16.261863   0.150903 -16.235067
     0.150721 -16.261747   0.150882 -16.234785
     0.150712 -16.261635   0.150861 -16.234511
     0.150704 -16.261526   0.150840 -16.234243
     0.150695 -16.261420   0.150819 -16.233983
     0.150686 -16.261317   0.150798 -16.233731
     0.150678 -16.261216   0.150777 -16.233485
     0.150669 -16.261119   0.150755 -16.233247
     0.150660 -16.261025   0.150734 -16.233017
     0.150652 -16.260934   0.150713 -16.232794
     0.150643 -16.260846   0.150692 -16.232578
     0.150634 -16.260761   0.150671 -16.232370
     0.150626 -16.260679   0.150649 -16.232170
     0.150617 -16.260600   0.150628 -16.231977
     0.150608 -16.260524   0.150607 -16.231792
     0.150600 -16.260452   0.150586 -16.231614
     0.150591 -16.260382   0.150565 -16.231444
     0.150582 -16.260316   0.150543 -16.231282
     0.150574 -16.260253   0.150522 -16.231128
     0.150565 -16.260193   0.150501 -16.230981
     0.150556 -16.260137   0.150480 -16.230843
     0.150548 -16.260083   0.150459 -16.230712
     0.150539 -16.260033   0.150437 -16.230589
     0.150530 -16.259986   0.150416 -16.230473
     0.150522 -16.259942   0.150395 -16.230366
     0.150513 -16.259901   0.150374 -16.230267
     0.150505 -16.259864   0.150353 -16.230175
     0.150496 -16.259830   0.150332 -16.230092
     0.150488 -16.259799   0.150311 -16.230016
