#    <A>=  0.153179  sigmaA= 0.000488
#    <B>=-16.230452  sigmaB= 0.020383
#  rhoAB= -0.308590
#    a39=  0.000464     b39=  0.020384
#    a95=  0.001135     b95=  0.049890
#  tht39=  0.423243   tht95=  0.423243
#
#       A39       B39         A95       B95
     0.153643 -16.230449   0.154315 -16.230444
     0.153641 -16.230193   0.154310 -16.229817
     0.153639 -16.229936   0.154305 -16.229190
     0.153637 -16.229680   0.154300 -16.228563
     0.153635 -16.229425   0.154295 -16.227937
     0.153633 -16.229169   0.154289 -16.227311
     0.153631 -16.228913   0.154284 -16.226686
     0.153628 -16.228658   0.154278 -16.226061
     0.153626 -16.228403   0.154272 -16.225437
     0.153623 -16.228148   0.154266 -16.224814
     0.153621 -16.227894   0.154260 -16.224191
     0.153618 -16.227640   0.154253 -16.223570
     0.153615 -16.227387   0.154246 -16.222949
     0.153613 -16.227134   0.154240 -16.222330
     0.153610 -16.226881   0.154233 -16.221712
     0.153607 -16.226629   0.154226 -16.221096
     0.153604 -16.226378   0.154218 -16.220481
     0.153601 -16.226127   0.154211 -16.219867
     0.153598 -16.225877   0.154203 -16.219255
     0.153594 -16.225628   0.154195 -16.218645
     0.153591 -16.225380   0.154187 -16.218037
     0.153588 -16.225132   0.154179 -16.217431
     0.153585 -16.224885   0.154171 -16.216827
     0.153581 -16.224639   0.154163 -16.216225
     0.153578 -16.224394   0.154154 -16.215625
     0.153574 -16.224150   0.154145 -16.215028
     0.153570 -16.223907   0.154136 -16.214433
     0.153567 -16.223665   0.154127 -16.213840
     0.153563 -16.223424   0.154118 -16.213251
     0.153559 -16.223184   0.154109 -16.212664
     0.153555 -16.222945   0.154099 -16.212079
     0.153551 -16.222708   0.154090 -16.211498
     0.153547 -16.222471   0.154080 -16.210919
     0.153543 -16.222236   0.154070 -16.210344
     0.153539 -16.222003   0.154060 -16.209772
     0.153535 -16.221770   0.154050 -16.209203
     0.153531 -16.221539   0.154039 -16.208638
     0.153527 -16.221310   0.154029 -16.208076
     0.153522 -16.221081   0.154018 -16.207517
     0.153518 -16.220855   0.154008 -16.206962
     0.153513 -16.220629   0.153997 -16.206411
     0.153509 -16.220406   0.153986 -16.205864
     0.153504 -16.220184   0.153975 -16.205320
     0.153500 -16.219963   0.153963 -16.204780
     0.153495 -16.219744   0.153952 -16.204245
     0.153490 -16.219527   0.153941 -16.203714
     0.153486 -16.219312   0.153929 -16.203186
     0.153481 -16.219098   0.153917 -16.202664
     0.153476 -16.218886   0.153905 -16.202145
     0.153471 -16.218676   0.153893 -16.201631
     0.153466 -16.218468   0.153881 -16.201122
     0.153461 -16.218262   0.153869 -16.200617
     0.153456 -16.218058   0.153857 -16.200117
     0.153451 -16.217855   0.153844 -16.199622
     0.153446 -16.217655   0.153832 -16.199131
     0.153441 -16.217457   0.153819 -16.198646
     0.153436 -16.217260   0.153807 -16.198165
     0.153430 -16.217066   0.153794 -16.197690
     0.153425 -16.216874   0.153781 -16.197220
     0.153420 -16.216684   0.153768 -16.196755
     0.153414 -16.216496   0.153755 -16.196295
     0.153409 -16.216311   0.153742 -16.195841
     0.153404 -16.216127   0.153728 -16.195392
     0.153398 -16.215946   0.153715 -16.194949
     0.153393 -16.215767   0.153701 -16.194511
     0.153387 -16.215591   0.153688 -16.194079
     0.153382 -16.215417   0.153674 -16.193653
     0.153376 -16.215245   0.153661 -16.193233
     0.153370 -16.215076   0.153647 -16.192818
     0.153365 -16.214909   0.153633 -16.192410
     0.153359 -16.214744   0.153619 -16.192007
     0.153353 -16.214582   0.153605 -16.191611
     0.153348 -16.214423   0.153591 -16.191220
     0.153342 -16.214266   0.153577 -16.190836
     0.153336 -16.214111   0.153563 -16.190458
     0.153330 -16.213960   0.153549 -16.190087
     0.153324 -16.213810   0.153534 -16.189722
     0.153319 -16.213664   0.153520 -16.189363
     0.153313 -16.213520   0.153506 -16.189011
     0.153307 -16.213379   0.153491 -16.188665
     0.153301 -16.213240   0.153477 -16.188326
     0.153295 -16.213104   0.153462 -16.187993
     0.153289 -16.212971   0.153447 -16.187667
     0.153283 -16.212841   0.153433 -16.187348
     0.153277 -16.212713   0.153418 -16.187036
     0.153271 -16.212588   0.153403 -16.186731
     0.153265 -16.212466   0.153389 -16.186432
     0.153259 -16.212347   0.153374 -16.186141
     0.153253 -16.212231   0.153359 -16.185856
     0.153247 -16.212118   0.153344 -16.185579
     0.153241 -16.212007   0.153329 -16.185308
     0.153235 -16.211900   0.153314 -16.185045
     0.153228 -16.211795   0.153300 -16.184789
     0.153222 -16.211693   0.153285 -16.184540
     0.153216 -16.211595   0.153270 -16.184298
     0.153210 -16.211499   0.153255 -16.184064
     0.153204 -16.211406   0.153240 -16.183837
     0.153198 -16.211316   0.153225 -16.183617
     0.153192 -16.211230   0.153210 -16.183405
     0.153186 -16.211146   0.153195 -16.183200
     0.153180 -16.211065   0.153180 -16.183003
     0.153173 -16.210988   0.153165 -16.182813
     0.153167 -16.210913   0.153150 -16.182631
     0.153161 -16.210842   0.153135 -16.182456
     0.153155 -16.210774   0.153120 -16.182289
     0.153149 -16.210708   0.153105 -16.182129
     0.153143 -16.210646   0.153090 -16.181977
     0.153137 -16.210587   0.153075 -16.181833
     0.153131 -16.210531   0.153060 -16.181696
     0.153124 -16.210479   0.153045 -16.181567
     0.153118 -16.210429   0.153030 -16.181446
     0.153112 -16.210383   0.153015 -16.181332
     0.153106 -16.210340   0.153000 -16.181227
     0.153100 -16.210300   0.152986 -16.181129
     0.153094 -16.210263   0.152971 -16.181039
     0.153088 -16.210229   0.152956 -16.180956
     0.153082 -16.210199   0.152941 -16.180882
     0.153076 -16.210171   0.152927 -16.180815
     0.153070 -16.210147   0.152912 -16.180756
     0.153064 -16.210126   0.152897 -16.180705
     0.153058 -16.210109   0.152883 -16.180662
     0.153052 -16.210094   0.152868 -16.180626
     0.153046 -16.210083   0.152854 -16.180599
     0.153041 -16.210075   0.152840 -16.180579
     0.153035 -16.210070   0.152825 -16.180568
     0.153029 -16.210069   0.152811 -16.180564
     0.153023 -16.210070   0.152797 -16.180568
     0.153017 -16.210075   0.152782 -16.180580
     0.153011 -16.210083   0.152768 -16.180600
     0.153006 -16.210095   0.152754 -16.180627
     0.153000 -16.210109   0.152740 -16.180663
     0.152994 -16.210127   0.152726 -16.180706
     0.152989 -16.210148   0.152713 -16.180758
     0.152983 -16.210172   0.152699 -16.180817
     0.152977 -16.210199   0.152685 -16.180884
     0.152972 -16.210230   0.152671 -16.180958
     0.152966 -16.210264   0.152658 -16.181041
     0.152961 -16.210301   0.152644 -16.181131
     0.152955 -16.210341   0.152631 -16.181229
     0.152950 -16.210384   0.152618 -16.181335
     0.152945 -16.210430   0.152605 -16.181449
     0.152939 -16.210480   0.152592 -16.181571
     0.152934 -16.210533   0.152579 -16.181700
     0.152929 -16.210589   0.152566 -16.181837
     0.152923 -16.210648   0.152553 -16.181981
     0.152918 -16.210710   0.152540 -16.182133
     0.152913 -16.210775   0.152527 -16.182293
     0.152908 -16.210844   0.152515 -16.182461
     0.152903 -16.210915   0.152503 -16.182636
     0.152898 -16.210990   0.152490 -16.182818
     0.152893 -16.211067   0.152478 -16.183008
     0.152888 -16.211148   0.152466 -16.183206
     0.152883 -16.211232   0.152454 -16.183411
     0.152878 -16.211319   0.152442 -16.183623
     0.152873 -16.211409   0.152430 -16.183843
     0.152869 -16.211501   0.152419 -16.184070
     0.152864 -16.211597   0.152407 -16.184305
     0.152859 -16.211696   0.152396 -16.184547
     0.152855 -16.211798   0.152385 -16.184796
     0.152850 -16.211903   0.152374 -16.185052
     0.152846 -16.212010   0.152363 -16.185315
     0.152841 -16.212121   0.152352 -16.185586
     0.152837 -16.212234   0.152341 -16.185864
     0.152832 -16.212351   0.152330 -16.186148
     0.152828 -16.212470   0.152320 -16.186440
     0.152824 -16.212592   0.152310 -16.186739
     0.152820 -16.212717   0.152299 -16.187044
     0.152816 -16.212844   0.152289 -16.187357
     0.152812 -16.212975   0.152279 -16.187676
     0.152808 -16.213108   0.152270 -16.188002
     0.152804 -16.213244   0.152260 -16.188335
     0.152800 -16.213382   0.152250 -16.188674
     0.152796 -16.213524   0.152241 -16.189020
     0.152792 -16.213668   0.152232 -16.189372
     0.152789 -16.213814   0.152223 -16.189731
     0.152785 -16.213964   0.152214 -16.190097
     0.152781 -16.214116   0.152205 -16.190468
     0.152778 -16.214270   0.152197 -16.190846
     0.152774 -16.214427   0.152188 -16.191231
     0.152771 -16.214587   0.152180 -16.191621
     0.152768 -16.214749   0.152172 -16.192018
     0.152764 -16.214913   0.152164 -16.192421
     0.152761 -16.215080   0.152156 -16.192829
     0.152758 -16.215250   0.152148 -16.193244
     0.152755 -16.215421   0.152141 -16.193665
     0.152752 -16.215596   0.152134 -16.194091
     0.152749 -16.215772   0.152126 -16.194523
     0.152746 -16.215951   0.152119 -16.194961
     0.152744 -16.216132   0.152113 -16.195404
     0.152741 -16.216316   0.152106 -16.195853
     0.152738 -16.216501   0.152100 -16.196307
     0.152736 -16.216689   0.152093 -16.196767
     0.152733 -16.216879   0.152087 -16.197232
     0.152731 -16.217071   0.152081 -16.197703
     0.152728 -16.217266   0.152075 -16.198178
     0.152726 -16.217462   0.152070 -16.198659
     0.152724 -16.217660   0.152064 -16.199144
     0.152722 -16.217861   0.152059 -16.199635
     0.152720 -16.218063   0.152054 -16.200130
     0.152718 -16.218268   0.152049 -16.200630
     0.152716 -16.218474   0.152044 -16.201135
     0.152714 -16.218682   0.152040 -16.201645
     0.152712 -16.218892   0.152035 -16.202159
     0.152710 -16.219104   0.152031 -16.202678
     0.152709 -16.219318   0.152027 -16.203201
     0.152707 -16.219533   0.152023 -16.203728
     0.152706 -16.219750   0.152020 -16.204259
     0.152704 -16.219969   0.152016 -16.204795
