#    <A>=  0.153177  sigmaA= 0.000483
#    <B>=-16.230694  sigmaB= 0.020037
#  rhoAB= -0.290333
#    a39=  0.000462     b39=  0.020038
#    a95=  0.001130     b95=  0.049042
#  tht39=  0.400918   tht95=  0.400918
#
#       A39       B39         A95       B95
     0.153639 -16.230691   0.154308 -16.230686
     0.153637 -16.230439   0.154303 -16.230070
     0.153636 -16.230187   0.154299 -16.229454
     0.153634 -16.229936   0.154294 -16.228838
     0.153632 -16.229684   0.154289 -16.228222
     0.153630 -16.229433   0.154284 -16.227607
     0.153627 -16.229182   0.154279 -16.226992
     0.153625 -16.228931   0.154273 -16.226378
     0.153623 -16.228680   0.154268 -16.225764
     0.153620 -16.228430   0.154262 -16.225152
     0.153618 -16.228180   0.154256 -16.224540
     0.153616 -16.227930   0.154250 -16.223929
     0.153613 -16.227681   0.154243 -16.223319
     0.153610 -16.227432   0.154237 -16.222710
     0.153608 -16.227184   0.154230 -16.222103
     0.153605 -16.226936   0.154223 -16.221497
     0.153602 -16.226689   0.154216 -16.220892
     0.153599 -16.226443   0.154209 -16.220289
     0.153596 -16.226197   0.154202 -16.219688
     0.153593 -16.225952   0.154195 -16.219088
     0.153590 -16.225708   0.154187 -16.218490
     0.153587 -16.225465   0.154179 -16.217895
     0.153583 -16.225222   0.154171 -16.217301
     0.153580 -16.224980   0.154163 -16.216709
     0.153577 -16.224739   0.154155 -16.216119
     0.153573 -16.224499   0.154146 -16.215532
     0.153570 -16.224260   0.154138 -16.214947
     0.153566 -16.224022   0.154129 -16.214365
     0.153563 -16.223785   0.154120 -16.213785
     0.153559 -16.223550   0.154111 -16.213208
     0.153555 -16.223315   0.154102 -16.212634
     0.153551 -16.223081   0.154093 -16.212062
     0.153548 -16.222849   0.154083 -16.211494
     0.153544 -16.222618   0.154074 -16.210928
     0.153540 -16.222388   0.154064 -16.210366
     0.153536 -16.222160   0.154054 -16.209806
     0.153531 -16.221933   0.154044 -16.209250
     0.153527 -16.221707   0.154034 -16.208698
     0.153523 -16.221483   0.154024 -16.208149
     0.153519 -16.221260   0.154013 -16.207603
     0.153515 -16.221038   0.154003 -16.207062
     0.153510 -16.220818   0.153992 -16.206523
     0.153506 -16.220600   0.153981 -16.205989
     0.153501 -16.220383   0.153970 -16.205459
     0.153497 -16.220168   0.153959 -16.204932
     0.153492 -16.219955   0.153948 -16.204410
     0.153488 -16.219743   0.153937 -16.203892
     0.153483 -16.219533   0.153925 -16.203378
     0.153478 -16.219325   0.153914 -16.202868
     0.153473 -16.219119   0.153902 -16.202363
     0.153469 -16.218914   0.153890 -16.201862
     0.153464 -16.218711   0.153878 -16.201366
     0.153459 -16.218510   0.153866 -16.200874
     0.153454 -16.218311   0.153854 -16.200387
     0.153449 -16.218114   0.153842 -16.199905
