#    <A>=  0.149819  sigmaA= 0.000491
#    <B>=-16.346358  sigmaB= 0.021260
#  rhoAB= -0.411681
#    a39=  0.000447     b39=  0.021261
#    a95=  0.001094     b95=  0.052035
#  tht39=  0.544546   tht95=  0.544546
#
#       A39       B39         A95       B95
     0.150266 -16.346354   0.150913 -16.346348
     0.150263 -16.346087   0.150907 -16.345694
     0.150261 -16.345820   0.150900 -16.345040
     0.150258 -16.345553   0.150894 -16.344387
     0.150255 -16.345286   0.150887 -16.343734
     0.150252 -16.345019   0.150880 -16.343081
     0.150249 -16.344753   0.150873 -16.342429
     0.150246 -16.344486   0.150865 -16.341777
     0.150243 -16.344220   0.150858 -16.341126
     0.150240 -16.343955   0.150850 -16.340476
     0.150237 -16.343690   0.150842 -16.339827
     0.150234 -16.343425   0.150835 -16.339178
     0.150231 -16.343160   0.150826 -16.338531
     0.150227 -16.342897   0.150818 -16.337886
     0.150224 -16.342633   0.150810 -16.337241
     0.150220 -16.342371   0.150801 -16.336598
     0.150217 -16.342108   0.150792 -16.335957
     0.150213 -16.341847   0.150783 -16.335317
     0.150209 -16.341586   0.150774 -16.334679
     0.150205 -16.341326   0.150765 -16.334043
     0.150202 -16.341067   0.150756 -16.333408
     0.150198 -16.340809   0.150746 -16.332776
     0.150194 -16.340551   0.150737 -16.332146
     0.150190 -16.340295   0.150727 -16.331518
     0.150186 -16.340039   0.150717 -16.330893
     0.150182 -16.339785   0.150707 -16.330269
     0.150177 -16.339531   0.150696 -16.329649
     0.150173 -16.339279   0.150686 -16.329031
     0.150169 -16.339027   0.150676 -16.328416
     0.150165 -16.338777   0.150665 -16.327804
     0.150160 -16.338528   0.150654 -16.327194
     0.150156 -16.338280   0.150643 -16.326588
     0.150151 -16.338034   0.150632 -16.325985
     0.150147 -16.337789   0.150621 -16.325384
     0.150142 -16.337545   0.150610 -16.324788
     0.150137 -16.337303   0.150598 -16.324194
     0.150133 -16.337062   0.150587 -16.323605
     0.150128 -16.336822   0.150575 -16.323018
     0.150123 -16.336584   0.150563 -16.322436
     0.150118 -16.336348   0.150552 -16.321857
     0.150113 -16.336113   0.150539 -16.321282
     0.150108 -16.335879   0.150527 -16.320711
     0.150103 -16.335648   0.150515 -16.320144
     0.150098 -16.335418   0.150503 -16.319582
     0.150093 -16.335190   0.150490 -16.319023
     0.150088 -16.334963   0.150478 -16.318469
     0.150083 -16.334739   0.150465 -16.317919
     0.150078 -16.334516   0.150452 -16.317374
     0.150072 -16.334295   0.150439 -16.316833
     0.150067 -16.334076   0.150426 -16.316297
     0.150062 -16.333859   0.150413 -16.315766
     0.150056 -16.333644   0.150400 -16.315239
     0.150051 -16.333431   0.150387 -16.314718
     0.150046 -16.333220   0.150374 -16.314201
     0.150040 -16.333011   0.150360 -16.313690
     0.150035 -16.332804   0.150347 -16.313183
     0.150029 -16.332599   0.150333 -16.312682
     0.150023 -16.332396   0.150319 -16.312186
     0.150018 -16.332196   0.150306 -16.311696
     0.150012 -16.331998   0.150292 -16.311211
     0.150006 -16.331802   0.150278 -16.310732
     0.150001 -16.331609   0.150264 -16.310258
     0.149995 -16.331417   0.150250 -16.309790
     0.149989 -16.331228   0.150236 -16.309328
     0.149983 -16.331042   0.150222 -16.308871
     0.149978 -16.330858   0.150207 -16.308421
     0.149972 -16.330676   0.150193 -16.307976
     0.149966 -16.330497   0.150179 -16.307538
     0.149960 -16.330320   0.150164 -16.307106
     0.149954 -16.330146   0.150150 -16.306680
     0.149948 -16.329975   0.150135 -16.306260
     0.149942 -16.329806   0.150121 -16.305846
     0.149936 -16.329640   0.150106 -16.305439
     0.149930 -16.329476   0.150091 -16.305038
     0.149924 -16.329315   0.150077 -16.304644
     0.149918 -16.329156   0.150062 -16.304257
     0.149912 -16.329001   0.150047 -16.303876
     0.149906 -16.328848   0.150032 -16.303502
     0.149900 -16.328698   0.150017 -16.303134
     0.149894 -16.328551   0.150003 -16.302774
     0.149888 -16.328406   0.149988 -16.302420
     0.149882 -16.328264   0.149973 -16.302073
     0.149876 -16.328126   0.149958 -16.301733
     0.149869 -16.327990   0.149943 -16.301401
     0.149863 -16.327857   0.149928 -16.301075
     0.149857 -16.327726   0.149913 -16.300757
     0.149851 -16.327599   0.149898 -16.300445
     0.149845 -16.327475   0.149883 -16.300141
     0.149839 -16.327354   0.149867 -16.299845
     0.149833 -16.327236   0.149852 -16.299555
     0.149826 -16.327120   0.149837 -16.299273
     0.149820 -16.327008   0.149822 -16.298999
     0.149814 -16.326899   0.149807 -16.298732
     0.149808 -16.326793   0.149792 -16.298472
     0.149802 -16.326690   0.149777 -16.298220
     0.149796 -16.326590   0.149762 -16.297976
     0.149789 -16.326493   0.149747 -16.297739
     0.149783 -16.326400   0.149732 -16.297510
     0.149777 -16.326309   0.149717 -16.297288
     0.149771 -16.326222   0.149702 -16.297075
     0.149765 -16.326138   0.149687 -16.296869
     0.149759 -16.326057   0.149672 -16.296671
     0.149753 -16.325979   0.149657 -16.296481
     0.149747 -16.325905   0.149642 -16.296298
     0.149740 -16.325834   0.149627 -16.296124
     0.149734 -16.325766   0.149612 -16.295958
     0.149728 -16.325701   0.149597 -16.295799
     0.149722 -16.325639   0.149582 -16.295649
     0.149716 -16.325581   0.149568 -16.295506
     0.149710 -16.325526   0.149553 -16.295372
     0.149704 -16.325475   0.149538 -16.295245
     0.149698 -16.325426   0.149524 -16.295127
     0.149692 -16.325381   0.149509 -16.295017
     0.149686 -16.325339   0.149494 -16.294914
     0.149680 -16.325301   0.149480 -16.294820
     0.149674 -16.325266   0.149465 -16.294734
     0.149669 -16.325234   0.149451 -16.294657
     0.149663 -16.325206   0.149437 -16.294587
     0.149657 -16.325181   0.149422 -16.294526
     0.149651 -16.325159   0.149408 -16.294473
     0.149645 -16.325140   0.149394 -16.294428
     0.149640 -16.325125   0.149380 -16.294391
     0.149634 -16.325114   0.149366 -16.294362
     0.149628 -16.325105   0.149352 -16.294342
     0.149622 -16.325100   0.149338 -16.294329
     0.149617 -16.325099   0.149324 -16.294326
     0.149611 -16.325101   0.149311 -16.294330
     0.149606 -16.325106   0.149297 -16.294342
     0.149600 -16.325114   0.149283 -16.294363
     0.149595 -16.325126   0.149270 -16.294392
     0.149589 -16.325141   0.149257 -16.294429
     0.149584 -16.325159   0.149243 -16.294474
     0.149578 -16.325181   0.149230 -16.294528
     0.149573 -16.325207   0.149217 -16.294589
     0.149568 -16.325235   0.149204 -16.294659
     0.149562 -16.325267   0.149191 -16.294737
     0.149557 -16.325302   0.149178 -16.294823
     0.149552 -16.325341   0.149166 -16.294918
     0.149547 -16.325383   0.149153 -16.295020
     0.149542 -16.325428   0.149140 -16.295130
     0.149537 -16.325476   0.149128 -16.295249
     0.149532 -16.325528   0.149116 -16.295376
     0.149527 -16.325583   0.149104 -16.295511
     0.149522 -16.325641   0.149092 -16.295653
     0.149517 -16.325703   0.149080 -16.295804
     0.149512 -16.325768   0.149068 -16.295963
     0.149507 -16.325836   0.149056 -16.296130
     0.149502 -16.325907   0.149044 -16.296304
     0.149498 -16.325982   0.149033 -16.296487
     0.149493 -16.326060   0.149022 -16.296677
     0.149489 -16.326141   0.149010 -16.296875
     0.149484 -16.326225   0.148999 -16.297081
     0.149480 -16.326312   0.148988 -16.297295
     0.149475 -16.326403   0.148978 -16.297517
     0.149471 -16.326496   0.148967 -16.297746
     0.149466 -16.326593   0.148956 -16.297983
     0.149462 -16.326693   0.148946 -16.298228
     0.149458 -16.326796   0.148936 -16.298480
     0.149454 -16.326902   0.148925 -16.298740
     0.149450 -16.327012   0.148915 -16.299007
     0.149446 -16.327124   0.148906 -16.299282
     0.149442 -16.327239   0.148896 -16.299564
     0.149438 -16.327358   0.148886 -16.299854
     0.149434 -16.327479   0.148877 -16.300151
     0.149430 -16.327603   0.148868 -16.300455
     0.149426 -16.327730   0.148858 -16.300767
     0.149423 -16.327861   0.148849 -16.301085
     0.149419 -16.327994   0.148841 -16.301411
     0.149416 -16.328130   0.148832 -16.301744
     0.149412 -16.328269   0.148823 -16.302084
     0.149409 -16.328411   0.148815 -16.302431
     0.149405 -16.328555   0.148807 -16.302785
     0.149402 -16.328703   0.148799 -16.303146
     0.149399 -16.328853   0.148791 -16.303514
     0.149396 -16.329006   0.148783 -16.303888
     0.149393 -16.329161   0.148776 -16.304269
     0.149390 -16.329320   0.148768 -16.304657
     0.149387 -16.329481   0.148761 -16.305051
     0.149384 -16.329645   0.148754 -16.305452
     0.149381 -16.329811   0.148747 -16.305859
     0.149378 -16.329980   0.148740 -16.306273
