rho0,E/A
0.15989,-15.9161
0.1599139,-15.90948
0.1599377,-15.90671
0.1599616,-15.90459
0.1599855,-15.90281
0.1600093,-15.90126
0.1600332,-15.89986
0.160057,-15.89858
0.1600809,-15.8974
0.1601048,-15.89631
0.1601286,-15.89528
0.1601525,-15.89432
0.1601763,-15.8934
0.1602002,-15.89254
0.1602241,-15.89172
0.1602479,-15.89094
0.1602718,-15.89019
0.1602956,-15.88948
0.1603195,-15.8888
0.1603434,-15.88814
0.1603672,-15.88752
0.1603911,-15.88691
0.1604149,-15.88634
0.1604388,-15.88578
0.1604627,-15.88525
0.1604865,-15.88474
0.1605104,-15.88425
0.1605342,-15.88378
0.1605581,-15.88332
0.160582,-15.88289
0.1606058,-15.88247
0.1606297,-15.88207
0.1606535,-15.88169
0.1606774,-15.88132
0.1607013,-15.88097
0.1607251,-15.88063
0.160749,-15.88031
0.1607728,-15.88
0.1607967,-15.87971
0.1608206,-15.87943
0.1608444,-15.87917
0.1608683,-15.87891
0.1608922,-15.87868
0.160916,-15.87845
0.1609399,-15.87824
0.1609637,-15.87805
0.1609876,-15.87787
0.1610115,-15.8777
0.1610353,-15.87754
0.1610592,-15.87739
0.161083,-15.87726
0.1611069,-15.87715
0.1611308,-15.87704
0.1611546,-15.87695
0.1611785,-15.87687
0.1612023,-15.87681
0.1612262,-15.87675
0.1612501,-15.87671
0.1612739,-15.87669
0.1612978,-15.87668
0.1613216,-15.87668
0.1613455,-15.8767
0.1613694,-15.87673
0.1613932,-15.87677
0.1614171,-15.87683
0.1614409,-15.8769
0.1614648,-15.87699
0.1614887,-15.87709
0.1615125,-15.87721
0.1615364,-15.87735
0.1615602,-15.8775
0.1615841,-15.87767
0.161608,-15.87786
0.1616318,-15.87806
0.1616557,-15.87828
0.1616795,-15.87853
0.1617034,-15.87879
0.1617273,-15.87907
0.1617511,-15.87938
0.161775,-15.87971
0.1617988,-15.88006
0.1618227,-15.88044
0.1618466,-15.88084
0.1618704,-15.88128
0.1618943,-15.88174
0.1619181,-15.88224
0.161942,-15.88277
0.1619659,-15.88334
0.1619897,-15.88396
0.1620136,-15.88462
0.1620374,-15.88534
0.1620613,-15.88612
0.1620852,-15.88696
0.162109,-15.88789
0.1621329,-15.88892
0.1621567,-15.89007
0.1621806,-15.89138
0.1622045,-15.89291
0.1622283,-15.89478
0.1622522,-15.8973
0.1622761,-15.90367
0.1622522,-15.91028
0.1622283,-15.91305
0.1622045,-15.91517
0.1621806,-15.91695
0.1621567,-15.91851
0.1621329,-15.91991
0.162109,-15.92118
0.1620852,-15.92236
0.1620613,-15.92346
0.1620374,-15.92448
0.1620136,-15.92545
0.1619897,-15.92636
0.1619659,-15.92722
0.161942,-15.92804
0.1619181,-15.92883
0.1618943,-15.92957
0.1618704,-15.93029
0.1618466,-15.93097
0.1618227,-15.93162
0.1617988,-15.93225
0.161775,-15.93285
0.1617511,-15.93343
0.1617273,-15.93398
0.1617034,-15.93451
0.1616795,-15.93502
0.1616557,-15.93551
0.1616318,-15.93599
0.161608,-15.93644
0.1615841,-15.93687
0.1615602,-15.93729
0.1615364,-15.93769
0.1615125,-15.93808
0.1614887,-15.93844
0.1614648,-15.9388
0.1614409,-15.93913
0.1614171,-15.93945
0.1613932,-15.93976
0.1613694,-15.94005
0.1613455,-15.94033
0.1613216,-15.9406
0.1612978,-15.94085
0.1612739,-15.94109
0.1612501,-15.94131
0.1612262,-15.94152
0.1612023,-15.94171
0.1611785,-15.9419
0.1611546,-15.94207
0.1611308,-15.94222
0.1611069,-15.94237
0.161083,-15.9425
0.1610592,-15.94262
0.1610353,-15.94272
0.1610115,-15.94281
0.1609876,-15.94289
0.1609637,-15.94296
0.1609399,-15.94301
0.160916,-15.94305
0.1608922,-15.94307
0.1608683,-15.94309
0.1608444,-15.94308
0.1608206,-15.94307
0.1607967,-15.94304
0.1607728,-15.94299
0.160749,-15.94293
0.1607251,-15.94286
0.1607013,-15.94277
0.1606774,-15.94267
0.1606535,-15.94255
0.1606297,-15.94241
0.1606058,-15.94226
0.160582,-15.94209
0.1605581,-15.94191
0.1605342,-15.9417
0.1605104,-15.94148
0.1604865,-15.94124
0.1604627,-15.94097
0.1604388,-15.94069
0.1604149,-15.94038
0.1603911,-15.94006
0.1603672,-15.9397
0.1603434,-15.93933
0.1603195,-15.93892
0.1602956,-15.93849
0.1602718,-15.93802
0.1602479,-15.93753
0.1602241,-15.93699
0.1602002,-15.93642
0.1601763,-15.9358
0.1601525,-15.93514
0.1601286,-15.93442
0.1601048,-15.93365
0.1600809,-15.9328
0.160057,-15.93187
0.1600332,-15.93084
0.1600093,-15.92969
0.1599855,-15.92838
0.1599616,-15.92685
0.1599377,-15.92498
0.1599139,-15.92246
0.15989,-15.9161
