# see also Drischler, Holt, and Wellenhofer, https://arxiv.org/abs/2101.01709
hamiltonian,hamiltonian_brief,n0,En0,method,mbpt_order,set_id,reference,,
Hebeler et al. (1.8/2.0),1.8/2.0,0.186707,-17.023,MBPT,2,0,Drischler et al. (2019),,
Hebeler et al. (1.8/2.0),1.8/2.0,0.188313,-17.1681,MBPT,3,0,Drischler et al. (2019),,
Hebeler et al. (1.8/2.0),1.8/2.0,0.188313,-17.3484,MBPT,4,0,Drischler et al. (2019),,
Hebeler et al. (2.0/2.0),2.0/2.0,0.17626506,-15.72627955,MBPT,2,1,Drischler et al. (2019),,
Hebeler et al. (2.0/2.0),2.0/2.0,0.179477912,-15.9705442,MBPT,3,1,Drischler et al. (2019),,
Hebeler et al. (2.0/2.0),2.0/2.0,0.180281124,-16.16902601,MBPT,4,1,Drischler et al. (2019),,
Hebeler et al. (2.0/2.5),2.0/2.5,0.180281124,-16.43323056,MBPT,2,2,Drischler et al. (2019),,
Hebeler et al. (2.0/2.5),2.0/2.5,0.180281124,-16.51072136,MBPT,3,2,Drischler et al. (2019),,
Hebeler et al. (2.0/2.5),2.0/2.5,0.180281124,-16.69435773,MBPT,4,2,Drischler et al. (2019),,
Hebeler et al. (2.2/2.0),2.2/2.0,0.168232932,-14.92269991,MBPT,2,3,Drischler et al. (2019),,
Hebeler et al. (2.2/2.0),2.2/2.0,0.172248996,-15.2806204,MBPT,3,3,Drischler et al. (2019),,1.8/2.0
Hebeler et al. (2.2/2.0),2.2/2.0,0.173052209,-15.44732918,MBPT,4,3,Drischler et al. (2019),,2.0/2.0
Hebeler et al. (2.0/2.0 (PWA)),2.8/2.0,0.156184739,-13.82458801,MBPT,2,4,Drischler et al. (2019),,2.2/2.0
Hebeler et al. (2.0/2.0 (PWA)),2.8/2.0,0.162610442,-14.57349431,MBPT,3,4,Drischler et al. (2019),,2.0/2.0*
Hebeler et al. (2.0/2.0 (PWA)),2.8/2.0,0.16502008,-14.52697528,MBPT,4,4,Drischler et al. (2019),,
Hebeler et al. (2.8/2.0),2.8/2.0*,0.137710843,-13.26332565,MBPT,2,5,Drischler et al. (2019),,
Hebeler et al. (2.8/2.0),2.8/2.0*,0.141726908,-13.49063508,MBPT,3,5,Drischler et al. (2019),,
Hebeler et al. (2.8/2.0),2.8/2.0*,0.141726908,-13.67845684,MBPT,4,5,Drischler et al. (2019),,
NNLOsim 450/290 MeV,sim 450,0.140923695,-12.36044686,MBPT,2,6,Drischler et al. (2019),,
NNLOsim 450/290 MeV,sim 450,0.145742972,-12.30459746,MBPT,3,6,Drischler et al. (2019),,
NNLOsim 450/290 MeV,sim 450,0.146546185,-12.46109844,MBPT,4,6,Drischler et al. (2019),,
NNLOsim 475/290 MeV,sim 475,0.144136546,-12.72984333,MBPT,2,7,Drischler et al. (2019),,
NNLOsim 475/290 MeV,sim 475,0.149759036,-12.70077164,MBPT,3,7,Drischler et al. (2019),,
NNLOsim 475/290 MeV,sim 475,0.150562249,-12.81817533,MBPT,4,7,Drischler et al. (2019),,
NNLOsim 500/290 MeV,sim 500,0.148955823,-13.25923465,MBPT,2,8,Drischler et al. (2019),,
NNLOsim 500/290 MeV,sim 500,0.154578313,-13.22432191,MBPT,3,8,Drischler et al. (2019),,
NNLOsim 500/290 MeV,sim 500,0.156184739,-13.33422931,MBPT,4,8,Drischler et al. (2019),,
NNLOsim 525/290 MeV,sim 525,0.157791165,-14.0653881,MBPT,2,9,Drischler et al. (2019),,
NNLOsim 525/290 MeV,sim 525,0.161807229,-13.89632667,MBPT,3,9,Drischler et al. (2019),,
NNLOsim 525/290 MeV,sim 525,0.162610442,-14.05940081,MBPT,4,9,Drischler et al. (2019),,
NNLOsim 550/290 MeV,sim 550,0.174658635,-15.52795285,MBPT,2,10,Drischler et al. (2019),,
NNLOsim 550/290 MeV,sim 550,0.168232932,-14.74245831,MBPT,3,10,Drischler et al. (2019),,
NNLOsim 550/290 MeV,sim 550,0.169839357,-15.06797041,MBPT,4,10,Drischler et al. (2019),,
Holt 414,Holt 414,0.195,-17.82,MBPT*,3,11,Holt and Kaiser (2017),,
Holt 450,Holt 450,0.197,-18.28,MBPT*,3,12,Holt and Kaiser (2017),,
Holt 500,Holt 500,0.162,-13.17,MBPT*,3,13,Holt and Kaiser (2017),,
# NNLOsat,NNLOsat,0.165613,-14.60395,CC,-1,14,Ekström et al. (2015),,
$\Delta$NNLOGO(394),$\Delta$NNLO$_\text{GO}$ 394,0.16283,-15.37854,CC,-1,15,Jiang et al. (2019),,
$\Delta$NNLOGO(450),$\Delta$NNLO$_\text{GO}$ 450,0.16868,-15.79561,CC,-1,16,Jiang et al. (2019),,
$\Delta$NLOGO(450),$\Delta$NLO$_\text{GO}$ 450,0.17161,-15.63415,CC,-1,17,Jiang et al. (2019),,
