#rho0,E/A
1.563220500754457509e-01,-1.574036880411439832e+01
1.567699850941091377e-01,-1.574240250766271032e+01
1.556984893945722870e-01,-1.570832782821253737e+01
1.568042322390558463e-01,-1.576145254211767721e+01
1.561414134689703137e-01,-1.574675962093385095e+01
1.557068643098978300e-01,-1.577445963110053739e+01
1.558830993762693184e-01,-1.572606177584707332e+01
1.574298275722599005e-01,-1.577733342514763493e+01
1.557828920210262147e-01,-1.570805418304206391e+01
1.572122587446923014e-01,-1.574722622382429371e+01
1.559908001207785111e-01,-1.573314478411584894e+01
1.554763889806542732e-01,-1.574250344799477652e+01
1.550901226547092282e-01,-1.572921815358298758e+01
1.569258254369035321e-01,-1.573796711466193976e+01
1.557919418425830482e-01,-1.573321470638139274e+01
1.589269534558918062e-01,-1.577901958336897081e+01
1.568759640894519525e-01,-1.580533171568690598e+01
1.553542540525655880e-01,-1.573440155397361018e+01
1.565240154382364357e-01,-1.575448671764989506e+01
1.567273894701791404e-01,-1.581110461139418533e+01
1.570687311637459505e-01,-1.572804792087352332e+01
1.567736027591631887e-01,-1.576194857632111557e+01
1.557562530818951407e-01,-1.580622268220085225e+01
1.550034779920096140e-01,-1.571014319152025962e+01
1.570680216172915256e-01,-1.573259239764690776e+01
1.557153680837243537e-01,-1.574900446555207623e+01
1.558654632370052029e-01,-1.576647936112972026e+01
1.565002356000248229e-01,-1.575499459496974097e+01
1.553988413632180488e-01,-1.574994353564939331e+01
1.567776379876622272e-01,-1.576296988892940654e+01
1.557170186650120580e-01,-1.572209774351131983e+01
1.555509911012983304e-01,-1.576517045919696791e+01
1.554366378464625553e-01,-1.574144508253277586e+01
1.573627060623778440e-01,-1.578727586794117776e+01
1.556374918348439607e-01,-1.569247456114104189e+01
1.558765594404130095e-01,-1.576437202008090210e+01
1.563242918574073437e-01,-1.573033738356729394e+01
1.557887496763206148e-01,-1.576147434979856676e+01
1.555252012228513503e-01,-1.576113693099153856e+01
1.550646243584989925e-01,-1.575002910758634656e+01
1.561437226548506585e-01,-1.573847399508240308e+01
1.559768113210140972e-01,-1.574823056851432312e+01
1.552164056241965850e-01,-1.573428082551191487e+01
1.553316841959661576e-01,-1.572273203960626198e+01
1.559267697202908476e-01,-1.575006031093645653e+01
1.558376806690746907e-01,-1.572557550689494654e+01
1.562753556852235770e-01,-1.573998748662299896e+01
1.564255514757801335e-01,-1.573123793500956324e+01
1.562235481619653477e-01,-1.572068970700717117e+01
1.562559308568581551e-01,-1.576176613312661523e+01
1.584535592384793690e-01,-1.575465358001552296e+01
1.573261241078362238e-01,-1.574922893796513002e+01
1.560994753691098968e-01,-1.575978250723555796e+01
1.581320417937589484e-01,-1.576595574907847741e+01
1.567453068425898877e-01,-1.573615125370569778e+01
1.561789185484554754e-01,-1.576080238179338622e+01
1.550428916964322335e-01,-1.569649490647752721e+01
1.551980707326220121e-01,-1.571090156518950742e+01
1.557307971341901076e-01,-1.576420056890352228e+01
1.557819383111151146e-01,-1.570662471079748101e+01
1.560117250825159840e-01,-1.573110636354221015e+01
1.559305378435006384e-01,-1.575165379443521907e+01
1.550570812117441633e-01,-1.575897936922790166e+01
1.554712204815677790e-01,-1.571244147149494097e+01
1.563701198773954082e-01,-1.574649202010973603e+01
1.556916708094145951e-01,-1.571519961818023070e+01
1.579894761557185112e-01,-1.575562326764126908e+01
1.571172826768987008e-01,-1.578442595423531891e+01
1.552118517653800212e-01,-1.574243820544149308e+01
1.581990058976016633e-01,-1.574434806727487057e+01
1.552638265583199118e-01,-1.572881514489240118e+01
1.583004105363524927e-01,-1.579859906815349291e+01
1.561990269326356540e-01,-1.574569485886191167e+01
1.554365175591998494e-01,-1.573500505104592584e+01
1.582347139096350330e-01,-1.573567163667429902e+01
1.558632141865575471e-01,-1.574893437944870200e+01
1.562265729248246415e-01,-1.572064774928935371e+01
1.550514919459002605e-01,-1.577787302558077620e+01
